,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Pacific Grove,US,36.6177,-121.9166,81.61,78,100,1.99,overcast clouds
80,Wajir,KE,1.7471,40.0573,82.69,43,31,22.17,scattered clouds
81,Balboa,CO,2.0396,-77.2168,66.76,87,100,2.82,moderate rain
82,Ribeira Grande,PT,38.5167,-28.7,73.8,94,75,10.36,broken clouds
83,Namatanai,PG,-3.6667,152.4333,78.84,84,100,7.67,moderate rain
84,Trinidad,BO,-14.8333,-64.9,87.96,41,65,6.76,broken clouds
85,Kapaa,US,22.0752,-159.319,82.72,70,20,1.99,few clouds
86,Gorontalo,ID,0.5412,123.0595,73.69,90,87,2.42,overcast clouds
87,Narsaq,GL,60.9167,-46.05,41.22,66,0,5.1,clear sky
88,Port Alfred,ZA,-33.5906,26.891,61.05,78,54,13.85,broken clouds
89,Bluff,NZ,-46.6,168.3333,49.8,95,100,7.85,light rain
90,Okato,NZ,-39.2,173.8833,57.42,96,100,11.48,overcast clouds
91,Bulungu,CD,-4.55,18.6,69.87,98,97,1.19,overcast clouds
92,Bambous Virieux,MU,-20.3428,57.7575,71.22,94,20,4.61,light rain
93,Lavrentiya,RU,65.5833,-171.0,36.23,99,100,7.16,light rain
94,Cape Town,ZA,-33.9258,18.4232,62.28,64,1,1.99,clear sky
95,Bosaso,SO,11.2842,49.1816,89.11,56,8,4.14,clear sky
96,Zaranj,AF,30.9667,61.8833,73.45,15,2,7.16,clear sky
97,Hobart,AU,-42.8794,147.3294,48.06,63,75,5.01,broken clouds
98,Tuktoyaktuk,CA,69.4541,-133.0374,30.02,83,100,16.37,overcast clouds
99,Avarua,CK,-21.2078,-159.775,77.05,73,29,18.41,scattered clouds
100,Barrow,US,71.2906,-156.7887,26.62,80,90,13.8,mist
101,Buraydah,SA,26.326,43.975,82.89,19,0,9.78,clear sky
102,Cabo San Lucas,MX,22.8909,-109.9124,95.5,62,0,7.18,clear sky
103,Castro,BR,-24.7911,-50.0119,65.39,84,93,8.72,overcast clouds
